Generation,Generation 0,Generation 1,Generation 2,Generation 3,Generation 4,Generation 5,Generation 6,Generation 7,Generation 8,Generation 9,Generation 10,Generation 11,Generation 12,Generation 13,Generation 14,Generation 15,Generation 16,Generation 17,Generation 18,Generation 19,Generation 20,Generation 21,Generation 22,Generation 23,Generation 24,Generation 25,Generation 26,Generation 27,Generation 28,Generation 29,Generation 30,Generation 31,Generation 32,Generation 33,Generation 34,Generation 35,Generation 36,Generation 37,Generation 38,Generation 39,Generation 40,Generation 41,Generation 42,Generation 43,Generation 44,Generation 45,Generation 46,Generation 47,Generation 48,Generation 49,Generation 50
"S4%=0.0, S3%=10.0, S2%=40.0, S1%=50.0",0.016666667,0.1,0.495,1.081666667,1.591666667,2.08,2.953333333,4.055,5.201666667,6.665,8.36,10.41666667,12.79,14.41,15.95,17.57666667,19.06666667,20.885,22.61833333,24.35333333,26.30666667,28.45166667,30.50666667,32.725,35.03166667,37.835,40.69333333,43.24333333,45.85,48.76,51.88666667,54.40166667,57.00166667,59.625,62.23333333,65.01666667,67.725,70.36333333,72.53833333,74.75333333,76.94,78.63666667,80.48333333,82.21833333,84.06666667,85.56666667,86.995,88.23166667,89.19833333,89.99166667,90.73666667
"S4%=5.0, S3%=20.0, S2%=30.0, S1%=45.0",0.016666667,0.096666667,0.658333333,1.195,1.886666667,2.481666667,3.231666667,4.108333333,5.145,5.995,7.223333333,8.895,10.70166667,12.65,15.03166667,17.22,19.80833333,22.41166667,24.75166667,27.625,30.675,33.725,36.68,38.99166667,41.34666667,43.795,46.175,48.47166667,50.56666667,52.86833333,55.18333333,57.30833333,59.40333333,61.57833333,63.52,65.30166667,67.14166667,68.78666667,70.485,72.015,73.50166667,74.665,75.54166667,76.45333333,77.41833333,78.38,79.275,80.04,80.72,81.33333333,81.965
"S4%=10.0, S3%=20.0, S2%=30.0, S1%=40.0",0.016666667,0.085,0.401666667,0.71,1.033333333,1.371666667,1.843333333,2.4,3.02,3.768333333,4.318333333,5.003333333,5.701666667,6.505,7.565,8.51,9.765,11.2,12.56666667,14.05833333,15.80833333,17.635,19.275,21.015,23.02833333,25.28833333,27.895,30.30833333,32.83333333,35.22666667,37.61,40.22333333,42.47833333,44.93666667,46.88166667,48.95166667,50.9,52.95666667,55.115,57.04833333,58.96833333,61.06666667,62.98833333,65.11333333,66.82666667,68.6,70.445,72.12166667,73.59333333,75.50333333,77.15
"S4%=20.0, S3%=20.0, S2%=30.0, S1%=30.0",0.016666667,0.095,0.371666667,0.873333333,1.575,2.006666667,2.445,2.905,3.45,4.14,4.785,5.433333333,6.275,7.1,7.943333333,8.945,10.035,11.16833333,12.345,13.695,15.165,16.62666667,18.085,19.605,21.30333333,22.87333333,24.68,26.63333333,28.87666667,31.08666667,33.42666667,35.72333333,37.76666667,39.81833333,42.00666667,44.21833333,46.43833333,48.77333333,51.395,53.895,56.18,58.52833333,60.93333333,63.09333333,65.27333333,67.26833333,69.16166667,70.97333333,72.64166667,74.21333333,75.87666667
" S4%=20.0, S3%=25.0, S2%=30.0, S1%=25.0",0.016666667,0.103333333,0.441666667,0.751666667,1.203333333,1.841666667,2.413333333,2.853333333,3.288333333,3.853333333,4.418333333,5.021666667,5.866666667,6.741666667,7.503333333,8.283333333,9.078333333,9.955,10.815,11.95333333,12.99333333,14.24833333,15.4,16.52833333,17.67833333,18.925,20.19333333,21.83166667,23.55833333,25.45833333,27.39,29.425,31.485,33.52333333,35.51333333,37.54,39.29666667,40.97,42.905,44.95833333,47.275,49.38666667,51.12333333,52.73166667,54.46666667,56.055,57.75666667,59.35333333,60.895,62.81833333,65.09
"S4%=25.0, S3%=20.0, S2%=30.0, S1%=25.0",0.016666667,0.101666667,0.236666667,0.42,0.553333333,0.691666667,0.838333333,1.128333333,1.39,1.741666667,2.176666667,2.47,2.873333333,3.208333333,3.525,3.816666667,4.276666667,4.945,5.655,6.426666667,7.276666667,8.055,8.805,9.408333333,10.045,10.59166667,11.315,12.145,13.28166667,14.365,15.40166667,16.61,17.7,18.81166667,20.06666667,21.605,22.92833333,24.27666667,25.66166667,27.04,28.49333333,30.20833333,32.015,33.69333333,35.17666667,36.84833333,38.58166667,40.18,41.975,43.745,45.43166667
" S4%=30.0, S3%=20.0, S2%=30.0, S1%=20.0",0.016666667,0.106666667,0.526666667,0.761666667,1.003333333,1.17,1.278333333,1.491666667,1.64,1.773333333,1.981666667,2.17,2.443333333,2.65,2.785,2.966666667,3.221666667,3.488333333,3.895,4.26,4.698333333,5.176666667,5.583333333,6.035,6.443333333,6.866666667,7.355,7.88,8.45,9.013333333,9.56,10.20666667,10.665,11.17833333,11.615,12.03166667,12.45,12.90333333,13.445,14.00333333,14.48833333,14.94666667,15.41833333,15.89333333,16.39333333,17.08333333,17.685,18.34333333,18.86666667,19.44,20.05833333
" S4%=40.0, S3%=20.0, S2%=30.0, S1%=10.0",0.016666667,0.083333333,0.148333333,0.201666667,0.278333333,0.376666667,0.421666667,0.453333333,0.503333333,0.536666667,0.593333333,0.636666667,0.705,0.753333333,0.801666667,0.836666667,0.871666667,0.958333333,1.021666667,1.088333333,1.146666667,1.233333333,1.248333333,1.261666667,1.29,1.333333333,1.368333333,1.408333333,1.45,1.538333333,1.576666667,1.618333333,1.708333333,1.756666667,1.79,1.821666667,1.861666667,1.923333333,2.021666667,2.103333333,2.176666667,2.215,2.268333333,2.311666667,2.351666667,2.395,2.433333333,2.485,2.575,2.653333333,2.723333333
"S4%=50.0, S3%=20.0, S2%=20.0, S1%=10.0",0.016666667,0.088333333,0.133333333,0.156666667,0.175,0.178333333,0.183333333,0.185,0.205,0.231666667,0.303333333,0.346666667,0.376666667,0.405,0.413333333,0.428333333,0.436666667,0.465,0.505,0.535,0.583333333,0.63,0.656666667,0.685,0.701666667,0.716666667,0.743333333,0.761666667,0.785,0.856666667,0.888333333,0.913333333,0.943333333,0.978333333,1.011666667,1.056666667,1.088333333,1.131666667,1.205,1.27,1.32,1.361666667,1.418333333,1.463333333,1.51,1.58,1.658333333,1.713333333,1.728333333,1.768333333,1.806666667
"S4%=60.0, S3%=20.0, S2%=10.0, S1%=10.0",0.016666667,0.103333333,0.191666667,0.268333333,0.356666667,0.443333333,0.483333333,0.501666667,0.508333333,0.531666667,0.581666667,0.601666667,0.63,0.696666667,0.71,0.736666667,0.763333333,0.786666667,0.815,0.821666667,0.828333333,0.853333333,0.87,0.876666667,0.938333333,0.983333333,1.003333333,1.015,1.023333333,1.031666667,1.038333333,1.055,1.076666667,1.113333333,1.128333333,1.14,1.141666667,1.151666667,1.161666667,1.173333333,1.183333333,1.185,1.2,1.216666667,1.223333333,1.235,1.25,1.255,1.261666667,1.263333333,1.265
